source_file,task_tag,benchmark,class,config_workers,strategy,worker_instance_type,head_instance_type,ft_wall_time_s,setup_time_s,total_time_s,auto_failure_trigger_secs,app_time_s,mops_total,mops_per_proc,total_procs,active_procs,verification,recovery_cycles,phase1_s,phase2_s,phase3_s,recovery_total_s,run_cost_usd,run_cost_ondemand_usd,total_cost_usd,run_index
2026-05-26T22:28:46.txt,cg-C_2w_m5xl_degraded,CG,C,2,DEGRADED,m5.xlarge,t3.large,170.363,38.21,208.573,2.0,160.18,894.92,223.73,4,4,SUCCESSFUL,1,26.644,23.099,110.259,160.002,0.009474075722222221,0.022109331555555556,0.011598976277777777,1
2026-05-26T21:05:14.txt,cg-C_2w_m5xl_MANA_noFT,CG,C,2,MANA_noFT,m5.xlarge,t3.large,107.216,38.267,145.484,,101.21,1416.39,354.1,4,4,SUCCESSFUL,0,,,,,0.005962400888888888,0.01391425422222222,0.008090526888888889,1
2026-05-26T22:23:11.txt,cg-C_2w_m5xl_replace,CG,C,2,REPLACE,m5.xlarge,t3.large,283.406,38.467,321.872,3.0,270.21,530.51,132.63,4,4,SUCCESSFUL,1,26.617,190.607,53.746,270.97,0.015760522555555555,0.03677980088888889,0.017899659555555558,1
2026-05-26T21:23:42.txt,cg-C_2w_m5xl_noFT,CG,C,2,noFT,m5.xlarge,t3.large,34.265,10.937,45.201,,30.51,4698.16,1174.54,4,4,SUCCESSFUL,0,,,,,0.0019055147222222222,0.004446835555555555,0.002513677833333333,1
2026-05-26T22:07:52.txt,cg-C_4w_m5xl_degraded,CG,C,4,DEGRADED,m5.xlarge,t3.large,93.719,38.277,131.996,2.0,82.23,1743.33,217.92,8,8,SUCCESSFUL,1,26.569,21.721,36.863,85.153,0.008257685222222222,0.022159336888888884,0.011630314222222224,1
2026-05-26T21:40:53.txt,cg-C_4w_m5xl_MANA_noFT,CG,C,4,MANA_noFT,m5.xlarge,t3.large,32.832,38.434,71.266,,26.81,5345.8,668.22,8,8,SUCCESSFUL,0,,,,,0.002892864,0.007762943999999999,0.006279326444444446,1
2026-05-26T21:58:09.txt,cg-C_4w_m5xl_replace,CG,C,4,REPLACE,m5.xlarge,t3.large,256.837,38.303,295.141,2.0,248.59,576.64,72.08,8,8,SUCCESSFUL,1,26.507,185.403,38.082,249.992,0.022630193444444446,0.06072768177777777,0.02600520144444445,1
2026-05-26T21:40:09.txt,cg-C_4w_m5xl_noFT,CG,C,4,noFT,m5.xlarge,t3.large,20.941,10.988,31.928,,17.29,8288.81,1036.1,8,8,SUCCESSFUL,0,,,,,0.001845134777777778,0.004951383111111111,0.0028132115555555563,1
2026-05-26T20:07:58.txt,ep-D_2w_m5xl_degraded,EP,D,2,DEGRADED,m5.xlarge,t3.large,537.409,38.454,575.863,45.0,528.54,260.04,65.01,4,4,SUCCESSFUL,1,16.323,21.666,444.406,482.395,0.02988591161111111,0.06974374577777778,0.03202438127777778,1
2026-05-26T19:31:44.txt,ep-D_2w_m5xl_MANA_noFT,EP,D,2,MANA_noFT,m5.xlarge,t3.large,492.646,38.319,530.966,,488.32,281.45,70.36,4,4,SUCCESSFUL,0,,,,,0.027396591444444444,0.06393450311111111,0.029527609222222223,1
2026-05-26T19:57:23.txt,ep-D_2w_m5xl_replace,EP,D,2,REPLACE,m5.xlarge,t3.large,583.662,38.272,621.934,45.0,574.53,239.22,59.81,4,4,SUCCESSFUL,1,16.317,196.402,314.715,527.434,0.032458092333333334,0.07574635733333333,0.034586440777777776,1
2026-05-26T21:26:01.txt,ep-D_2w_m5xl_noFT,EP,D,2,noFT,m5.xlarge,t3.large,330.5,10.94,341.44,,329.34,417.32,104.33,4,4,SUCCESSFUL,0,,,,,0.01837947222222222,0.04289155555555556,0.018987857777777777,1
2026-05-26T19:14:22.txt,ep-D_4w_m5xl_degraded,EP,D,4,DEGRADED,m5.xlarge,t3.large,294.55,38.324,332.874,45.0,286.47,479.77,59.97,8,8,SUCCESSFUL,1,16.319,21.629,205.048,242.996,0.025953127777777783,0.0696447111111111,0.029329898000000004,1
2026-05-26T19:01:42.txt,ep-D_4w_m5xl_MANA_noFT,EP,D,4,MANA_noFT,m5.xlarge,t3.large,248.951,38.276,287.227,,244.43,562.28,70.28,8,8,SUCCESSFUL,0,,,,,0.021935349222222223,0.058863080888888884,0.025307890111111113,1
2026-05-26T19:06:41.txt,ep-D_4w_m5xl_replace,EP,D,4,REPLACE,m5.xlarge,t3.large,409.103,38.526,447.63,45.0,401.08,342.67,42.83,8,8,SUCCESSFUL,1,16.41,185.586,151.462,353.458,0.03604651988888889,0.09673013155555556,0.039441176666666675,1
2026-05-26T18:58:32.txt,ep-D_4w_m5xl_noFT,EP,D,4,noFT,m5.xlarge,t3.large,166.959,10.999,177.958,,165.31,831.42,103.93,8,8,SUCCESSFUL,0,,,,,0.014710943000000002,0.039476528,0.015680077111111114,1
2026-05-26T12:50:38.txt,lu-C_2w_m5xl_degraded,LU,C,2,DEGRADED,m5.xlarge,t3.large,302.307,38.179,340.486,45.0,294.12,6932.47,1733.12,4,4,SUCCESSFUL,1,26.622,21.726,198.902,247.25,0.016811628166666665,0.03923273066666667,0.018934804777777776,1
2026-05-26T12:38:18.txt,lu-C_2w_m5xl_MANA_noFT,LU,C,2,MANA_noFT,m5.xlarge,t3.large,242.059,38.169,280.228,,236.93,8606.01,2151.5,4,4,SUCCESSFUL,0,,,,,0.013461169944444443,0.03141387911111111,0.015583790444444443,1
2026-05-26T12:43:10.txt,lu-C_2w_m5xl_replace,LU,C,2,REPLACE,m5.xlarge,t3.large,397.336,38.184,435.52,45.0,386.16,5280.23,1320.06,4,4,SUCCESSFUL,1,26.497,184.99,130.546,342.033,0.022096296444444444,0.05156538311111111,0.024219751111111108,1
2026-05-26T12:35:28.txt,lu-C_2w_m5xl_noFT,LU,C,2,noFT,m5.xlarge,t3.large,146.9,10.926,157.827,,142.88,14270.98,3567.75,4,4,SUCCESSFUL,0,,,,,0.008169272222222223,0.019064355555555558,0.008776934833333333,1
2026-05-26T12:17:29.txt,lu-C_4w_m5xl_degraded,LU,C,4,DEGRADED,m5.xlarge,t3.large,190.222,38.21,228.432,45.0,182.37,11180.38,1397.55,8,8,SUCCESSFUL,1,26.505,21.632,88.774,136.911,0.01676067177777778,0.04497693511111111,0.020127397333333335,1
2026-05-26T12:07:32.txt,lu-C_4w_m5xl_MANA_noFT,LU,C,4,MANA_noFT,m5.xlarge,t3.large,134.569,38.497,173.066,,129.96,15689.0,1961.13,8,8,SUCCESSFUL,0,,,,,0.011857024111111112,0.03181809244444444,0.015249037555555556,1
2026-05-26T12:10:37.txt,lu-C_4w_m5xl_replace,LU,C,4,REPLACE,m5.xlarge,t3.large,360.129,38.305,398.434,45.0,350.92,5810.43,726.3,8,8,SUCCESSFUL,1,26.53,220.945,57.532,305.007,0.03173136633333334,0.08515050133333334,0.03510646244444445,1
2026-05-26T12:05:48.txt,lu-C_4w_m5xl_noFT,LU,C,4,noFT,m5.xlarge,t3.large,80.722,10.973,91.695,,77.12,26437.91,3304.74,8,8,SUCCESSFUL,0,,,,,0.0071125051111111115,0.019086268444444443,0.008079348333333333,1
