source_file,task_tag,benchmark,class,config_workers,strategy,timing_pct,synth_level,synth_memory_mb,worker_instance_type,head_instance_type,ft_wall_time_s,setup_time_s,total_time_s,auto_failure_trigger_secs,app_time_s,mops_total,mops_per_proc,total_procs,active_procs,verification,recovery_cycles,phase0_s,phase1_s,phase2_s,phase2a_s,phase2b_s,phase2c_s,phase3_s,recovery_total_s,run_cost_usd,run_cost_ondemand_usd,total_cost_usd,run_index
cg-C_2w_m5xl_degraded_2026-05-31T19:33:54_SUCCESS.txt,cg-C_2w_m5xl_degraded,CG,C,2,DEGRADED,,,,m5.xlarge,t3.large,165.821,38.215,204.037,3.0,156.64,915.12,228.78,4.0,4.0,SUCCESSFUL,1,3.0,26.428,21.646,5.444,10.924,5.278,109.47,157.54399999999998,0.009221490055555556,0.021519880888888888,0.011346724277777777,1
cg-C_2w_m5xl_MANA_noFT_2026-05-31T13:41:18_SUCCESS.txt,cg-C_2w_m5xl_MANA_noFT,CG,C,2,MANA_noFT,,,,m5.xlarge,t3.large,115.152,38.539,153.691,,109.46,1309.56,327.39,4.0,4.0,SUCCESSFUL,0,,,,,,,,,0.006403730666666667,0.014944170666666668,0.008546927277777778,1
cg-C_2w_m5xl_replace_2026-05-31T19:26:17_SUCCESS.txt,cg-C_2w_m5xl_replace,CG,C,2,REPLACE,,,,m5.xlarge,t3.large,243.823,38.34,282.163,3.0,232.24,617.23,154.31,4.0,4.0,SUCCESSFUL,1,3.0,26.493,167.813,5.495,157.037,5.281,41.959,236.265,0.013559267944444444,0.031642807111111115,0.015691397944444442,1
cg-C_2w_m5xl_noFT_2026-05-31T13:40:28_SUCCESS.txt,cg-C_2w_m5xl_noFT,CG,C,2,noFT,,,,m5.xlarge,t3.large,34.589,10.989,45.577,,31.18,4597.54,1149.38,4.0,4.0,SUCCESSFUL,0,,,,,,,,,0.001923532722222222,0.0044888835555555555,0.002534587611111111,1
cg-C_4w_m5xl_degraded_2026-06-02T09:18:31_SUCCESS.txt,cg-C_4w_m5xl_degraded,CG,C,4,DEGRADED,,,,m5.xlarge,t3.large,100.92,38.52,139.44,3.0,92.42,1551.03,193.88,8.0,8.0,SUCCESSFUL,1,3.0,26.497,21.925,5.729,10.936,5.26,41.992,90.41399999999999,0.008892173333333335,0.02386197333333333,0.012286213333333336,1
cg-C_4w_m5xl_MANA_noFT_2026-05-31T12:52:54_SUCCESS.txt,cg-C_4w_m5xl_MANA_noFT,CG,C,4,MANA_noFT,,,,m5.xlarge,t3.large,29.745,38.16,67.905,,26.22,5467.14,683.39,8.0,8.0,SUCCESSFUL,0,,,,,,,,,0.0026208650000000004,0.00703304,0.005983185000000001,1
cg-C_4w_m5xl_replace_2026-06-02T08:50:13_SUCCESS.txt,cg-C_4w_m5xl_replace,CG,C,4,REPLACE,,,,m5.xlarge,t3.large,201.053,38.45,239.503,3.0,189.11,758.03,94.75,8.0,8.0,SUCCESSFUL,1,3.0,26.567,135.919,5.514,125.16,5.245,26.393,188.87900000000002,0.017715003222222223,0.047537864888888885,0.021102875444444447,1
cg-C_4w_m5xl_noFT_2026-05-31T12:52:12_SUCCESS.txt,cg-C_4w_m5xl_noFT,CG,C,4,noFT,,,,m5.xlarge,t3.large,18.698,10.921,29.618,,16.47,8705.94,1088.24,8.0,8.0,SUCCESSFUL,0,,,,,,,,,0.001647501555555556,0.004421038222222223,0.0026096748888888893,1
cg-C_8w_m5xl_degraded_2026-06-03T09:05:50_SUCCESS.txt,cg-C_8w_m5xl_degraded,CG,C,8,DEGRADED,,,,m5.xlarge,t3.large,98.269,38.342,136.612,3.0,88.0,1628.93,101.81,16.0,16.0,SUCCESSFUL,1,3.0,36.729,21.692,5.492,10.935,5.265,26.387,84.80799999999999,0.01504607577777778,0.04419921244444445,0.02091681511111111,1
cg-C_8w_m5xl_MANA_noFT_2026-05-31T13:08:34_SUCCESS.txt,cg-C_8w_m5xl_MANA_noFT,CG,C,8,MANA_noFT,,,,m5.xlarge,t3.large,20.894,38.245,59.139,,16.24,8827.64,551.73,16.0,16.0,SUCCESSFUL,0,,,,,,,,,0.0031991035555555556,0.009397656888888889,0.009054838,1
