benchmark,strategy,workers,n,wall_time_mean_s,wall_time_std_s
CG,noFT,2,3,34.11,0.67
CG,noFT,4,3,20.19,1.3
CG,noFT,8,3,12.2,0.1
CG,MANA_noFT,2,3,109.81,4.63
CG,MANA_noFT,4,3,31.2,1.26
CG,MANA_noFT,8,3,20.91,0.02
EP,noFT,2,3,334.32,0.73
EP,noFT,4,3,169.71,0.86
EP,noFT,8,3,99.08,3.2
EP,MANA_noFT,2,3,484.51,15.64
EP,MANA_noFT,4,3,248.95,1.97
EP,MANA_noFT,8,3,125.73,0.85
LU,noFT,2,3,147.79,1.78
LU,noFT,4,3,83.06,3.73
LU,noFT,8,3,47.62,0.27
LU,MANA_noFT,2,3,241.22,1.24
LU,MANA_noFT,4,3,135.07,1.68
LU,MANA_noFT,8,3,72.72,1.34
