benchmark,level,mpi_calls,n,noft_mean_s,noft_std_s,mana_mean_s,mana_std_s,overhead_s
SYNTH_CALLS,0,0,3,63.09,0.18,66.62,1.37,3.53
SYNTH_CALLS,1,800,3,62.69,0.56,67.45,0.17,4.76
SYNTH_CALLS,2,3200,3,63.01,0.18,67.55,0.21,4.54
SYNTH_CALLS,3,12800,3,63.18,0.01,67.86,0.51,4.69
SYNTH_CALLS,4,51200,3,67.16,1.21,71.49,1.18,4.32
SYNTH_P2P,0,0,3,63.01,0.29,67.41,0.2,4.4
SYNTH_P2P,1,800,3,62.98,0.15,67.28,0.04,4.31
SYNTH_P2P,2,3200,3,63.01,0.18,68.92,1.19,5.91
SYNTH_P2P,3,12800,3,64.61,1.34,68.42,1.47,3.81
SYNTH_P2P,4,51200,3,72.72,1.2,74.92,1.38,2.2
