workers,strategy,timing_pct,n,recovery_overhead_mean_pct,recovery_overhead_std_pct
2,REPLACE,10,3,91.1,0.1
2,REPLACE,25,3,78.6,0.5
2,REPLACE,50,3,59.6,0.9
2,DEGRADED,10,3,91.4,0.0
2,DEGRADED,25,3,78.2,0.2
2,DEGRADED,50,3,57.3,0.4
4,REPLACE,10,3,90.3,0.4
4,REPLACE,25,3,77.4,0.1
4,REPLACE,50,3,60.1,0.3
4,DEGRADED,10,3,89.1,0.2
4,DEGRADED,25,3,73.2,0.2
4,DEGRADED,50,3,49.4,0.4
8,REPLACE,10,3,95.5,0.1
8,REPLACE,25,3,88.5,0.6
8,REPLACE,50,3,78.3,1.1
8,DEGRADED,10,3,93.3,0.3
8,DEGRADED,25,3,83.0,0.1
8,DEGRADED,50,3,66.7,2.2
