workers,strategy,timing_pct,n,wall_time_mean_s,wall_time_std_s
2,REPLACE,10,3,329.3,7.5
2,REPLACE,25,3,341.3,4.9
2,REPLACE,50,3,369.3,7.5
2,DEGRADED,10,3,303.6,2.7
2,DEGRADED,25,3,302.9,3.2
2,DEGRADED,50,3,301.8,1.3
4,REPLACE,10,3,266.3,5.1
4,REPLACE,25,3,267.3,5.8
4,REPLACE,50,3,275.0,0.3
4,DEGRADED,10,3,192.6,0.6
4,DEGRADED,25,3,193.6,2.7
4,DEGRADED,50,3,192.6,2.5
8,REPLACE,10,3,230.6,3.8
8,REPLACE,25,3,247.2,9.5
8,REPLACE,50,3,236.4,2.7
8,DEGRADED,10,3,135.6,1.2
8,DEGRADED,25,3,136.3,0.6
8,DEGRADED,50,3,141.0,5.3
